word,type
Bottle Opener,object
Bottled Water,object
Boulder,object
Bouncer,human
Bouncy Ball,object
Bouncy House,object
Bounty Hunter,human
Bouquet,object
Boutique,other
Bow (Gift),object
Bow (Music),object
Bow (Weapon),object
Bow Tie,object
Bowl,object
Bowler (Person),human
Bowling Alley,object
Bowling Ball,object
Bowling Lane,object
Bowling Pin,object
Bowser,humanoid
Box of Chocolates,object
Boxer (Person),human
Boxers,object
Boxing Glove,object
Boxing Ring,object
Boy,human
Boyfriend,human
Bra,object
Bracelet,object
Braces,object
Braid,other
Brain,object
Brass Knuckles,object
Bread,object
Bread Knife,object
Bread Maker,object
Brick,object
Bride,human
Bridesmaid,human
Bridge (Structure),object
Brie,object
Briefs,object
Broccoli,object
Brontosaurus,animal
Brooch,object
Broom,object
Brownie (Food),object
Brownie Batter,object
Bruce Wayne,human
Brush (Cleaning),object
Brushes,object
Brussels Sprout,object
Bubble,object
Bubble Tea,object
Bubble Wand,object
Bubbles,object
Bucket,object
Bucket Hat,object
Buckle,object
Buffalo,animal
Buffalo Calf,animal
Bug (Spy),object
Bug Spray,object
Bug Zapper,object
Bulb,object
Bull,animal
Bull Terrier,animal
Bulldog,animal
Bulldozer,object
Bullet,object
Bullet Proof Vest,object
Bullet Train,object
Bulletin Board,object
Bullfighter,human
Bullseye,other
Bully,human
Bumper Car,object
Bungalow,object
Bungee Cord,object
Bunk Bed,object
Bunker,object
Bunny,animal
Bunny Ears,object
Buoy,object
Bureaucrat,human
Burrito,object
Bus,object
Bus Station,object
Business Card,object
Business Park,object
Businessman,human
Businesswoman,human
Bust,object
Butcher,human
Butcher Shop,object
Butler,human
Butter,object
Butter Dish,object
Buttercup,object
Butterfly,animal
Butterfly Net,object
Butterfly Wings,object
Buttermilk,object
Butterscotch Pudding,object
Button (Clothes),object
Button (Mechanical),object
Buzz,other
Cab,object
Cab Driver,human
Cable Car,object
Cable Guy,human
Caboose,object
Cactus,object
Cafeteria,object
Cafeteria Worker,human
Cage (Container),object
Cake,object
Cake Mix,object
Cake Stand,object
Calamari,object
Calculator (Electronics),object
Calendar,object
Calf,animal
Calico,animal
Calzone,object
Camcorder,object
Camel,animal
Camera,object
Camera Man,human
Camouflage,other
Camp Counselor,human
Camp Ground,object
Campfire,object
Can,object
Can Of Worms,object
Can Opener,object
Canadian Bacon,object
Canary,animal
Cancer (Stars),other
Candle,object
Candleholder,object
Candlestick,object
Candy,object
Candy Apple,object
Candy Bar,object
Candy Cane,object
Candy Corn,object
Candy Store,object
Cane,object
Cannibal,human
Cannon,object
Cannonball,object
Canoe,object
Canopy,object
Canopy Bed,object
Canteen (Container),object
Canvas,object
Canyon,object
Cap and Gown,object
Cap Gun,object
Capricorn (Stars),other
Capsule (Shape),object
Captain,human
Car,object
Car Battery,object
Car Dealership,object
Car Jack,object
Car Seat,object
Car Wash,object
Cardboard,object
Cardinal (Bird),animal
Cardiologist,human
